,teacher,heart,reviewer,date,kinds,content_title,review_title,content,rated
0,정종영,2565,송*영,23.09.09,260,[2024학년도 고3 9월 모의평가 해설] 수학,공부 방법 질문,"안녕하세요. 앞으로의 공부 방향에 대해 질문드리고 싶습니다.
미적분을 선택했고 61점(틀린문항-9,11,13,14,19,20,21,22,28,30)을 받았습니다.
지금까지는 평가원 기출문제를 풀었고 사설 실전개념강의를 듣는 중이었습니다. 
수능특강, 수능완성을 가볍게 훑기만 했는데 연계교재를 다시 한번 보고 무엇을 해야 할까요? 지금 듣고 있는 실전 개념 강의를 계속 듣는게 맞는지 어떤 문제들을 중심적으로 풀어야 할지 고민입니다.
감사합니다.",5점
1,정종영,2565,이*영,23.09.08,302,[2024학년도 고3 9월 모의평가 해설] 수학,"선생님, 수학 시험과 관련해서 질문 있습니다!","안녕하세요 선생님! 
다름이 아니라 수학 모고 시간 분배에 대해서 여쭤보고 싶은 게 있어서요ㅠ

제가 어제 9모에서
1번~12번(약 35분)
13번(10분 정도 풀다가 답이 안 나와서 패스ㅠ)
단답형 16번~20번(15분) 
확률과 통계 23~29번 (30분)
30번(5분 고민하다가 마킹ㅠ)

해서 14,15,21,22번은 손도 못 대고 시험이 끝났습니다ㅠ

결과는 확률과 통계 29번 틀리고, 1문제를 찍어서 맞추면서 총 76점이 나왔습니다ㅠ

4점짜리 문제를 2문제 정도는 더 풀고 싶은데, 보통 시간 분배가 어느 정도가 되면 적당한지, 저의 과정 중에 시간이 너무 많이 걸리는 부분이 어딘지 조언해주시면 감사하겠습니다!",5점
2,정종영,2565,강*지,23.09.08,280,[2024학년도 고3 9월 모의평가 해설] 수학,안녕하세요 ebs로 많은 도움을 받고 있습니다! (공부방향에 대해서 여쭤볼게 있습니다ㅜㅜ)!,"안녕하세요! 답답했던 것들이 강의로 정말 도움 됐어요 감사합니다! 
+ 제가 9평때 확통 69점을 받았는데 (11,13,14,15,21,22,29,30 못풀었습니다..) 앞으로 무엇을 공부해야될지 감이 안잡히네요ㅜ 혹시 공부 방향을 여쭤봐도 된다면 남은기간 무엇을 하면 좋을까요? 현장에서 11번 빼고는 어떻게 풀어야되는지 전혀 생각이 안나고 턱 막혀버렸어요ㅜ",5점
3,정종영,2565,박*민,23.09.07,400,[2024학년도 고3 9월 모의평가 해설] 수학,9모 후기,"안녕하세요

9모 끝나자마자 해설 강의 찍어 올리시느라고 고생하셨어요

저는

원점수 97점 받았어요.........ㅋㅋㅋ

해설강의 듣고 다시 수강후기 쓰겠습니다",5점
4,정종영,2565,안*이,23.09.07,299,[2024학년도 고3 9월 모의평가 해설] 수학,종영샘 민재샘 감사합니다^^,"일케 빨리 해설강의 올려주시다니 감동입니다!
샘들께서 해주시는 강의내용들 잘 기억하면서
끝까지 가겠습니다.
수험생보다  더 치열하신 샘들 모습이 큰 힘이되고 자극도 됩니다.
선생님! 감사합니다. ",스페셜
5,정종영,2565,s********e,23.08.04,144,[2024 만점마무리] 수학Ⅰ·수학Ⅱ,8월부터 시작,"정말 오랜만에 수능을 준비합니다.


선생님과 저 둘다 파이팅입니다.",5점
6,정종영,2565,오*비,23.07.28,111,[2024 만점마무리] 수학Ⅰ·수학Ⅱ,해설 감사합니다,문제풀이 깔끔하고 꼼꼼히 해주셔서 좋았어요 ㅎ ㅎ 특히 스텝을 나눠서 설명해주신게 이해도 잘되고 어느 부분부터 막힌건지 알 수 있었어요 감사합니다!,5점
7,정종영,2565,변*윤,23.07.20,161,[2024 만점마무리] 수학Ⅰ·수학Ⅱ,선생님께 ),선생님 즐거운저녁보내세요.ㅎ ),5점
8,정종영,2565,박*수,23.11.12,3,[2024 수능완성] 정종영의 수학+확률과 통계(실전편),수완수학 실전편 13강 후기!,멋진 종영쌤! 제가 뽑은 오답의 문제는 4회의 1번 문제를 뽑았습니다! 계산만 더 집중해서 잘 풀면 풀수 있는 문제이고요! 제가 뽑은 깨달았던 문제는 4회의 2번 문제를 뽑았습니다! 스스로 계산해서 풀고 채점해보니까! 맞혔더라고요! 멋진 종영쌤! 완강이 7강 코앞이니까! 포기하지 말고! 끝까지 파이팅!,5점
9,정종영,2565,박*수,23.11.11,3,[2024 수능완성] 정종영의 수학+확률과 통계(실전편),수완수학 실전편 12강 후기!,멋진 종영쌤! 제가 뽑은 오답의 문제는 25번 문제를 뽑았습니다! 계산과정만 잘 하면 문제데요! 아쉬웠습니다! 제가 뽑은 깨달았던 문제는 24번 문제를 뽑았습니다! 저한테 너무나 간단한 확통문제여서 기분이 제일 좋았던 거 같습니다! 완강이 8강 코앞이니까! 끝까지 파이팅!♡♡♡♡♡,5점
10,정종영,2565,박*수,23.11.11,1,[2024 수능완성] 정종영의 수학+확률과 통계(실전편),수완수학 실전편 11강 후기!,"멋진 종영쌤! 제가 뽑은 어려운 문제는 20번 문제를 뽑았습니다! 계산과정이 어려웠지만 사진으로 참고하시면 돼요! 제가 뽑은 깨달았던 문제는 18번 문제를 뽑았습니다!
저한테 너무 간단한 문제여서 뽑았습니다! 완강이 9강 코앞이니까! 좌절하지 말고! 포기하지 말고! 끝까지 파이팅!",5점
11,정종영,2565,박*수,23.11.11,2,[2024 수능완성] 정종영의 수학+확률과 통계(실전편),수완수학 실전편 10강 후기!,멋진 종영쌤! 제가 뽑은 오답의 문제는 14번 문제를 뽑았습니다! 사진으로 참고하시면 돼요! 제가 뽑은 깨달았던 문제는 15번 문제를 뽑았습니다! 와! 문제 풀이 과정이 길었지만 풀 만 했습니다! 완강이 10강 코앞이니까! 파이팅!♡,5점
12,정종영,2565,박*수,23.11.11,4,[2024 수능완성] 정종영의 수학+확률과 통계(실전편),수완수학 실전편 9강 후기!,멋진 종영쌤! 제가 뽑은 오답의 문제는 3회의 3번을 뽑았습니다! 사진으로 참고하시면 돼요! 제가 뽑은 깨달았던 문제는 3회의 6번을 뽑았습니다! 와! 이거는 저한테 너무 간단한 문제였습니다! 10강에 가서 더 열심히 하겠습니다!!!,5점
13,정종영,2565,박*수,23.11.05,10,[2024 수능완성] 정종영의 수학+확률과 통계(실전편),수완수학 실전편 8강 후기!,멋진 종영쌤!!! 제가 뽑은 오답의 문제는 24번 문제를 뽑았습니다! 사진으로 참고하시면 돼요! 제가 뽑은 깨달았던 문제는 26번 문제를 뽑았습니다! 와! 이거는 저한테 너무 간단한 문제였지만 스스로 계산해서 풀고 채점해보니까! 맞혔더라고요! 9강에 가서 더 집중해서! 잘 풀겠습니다!♡♡,5점
14,정종영,2565,박*수,23.11.05,6,[2024 수능완성] 정종영의 수학+확률과 통계(실전편),수완수학 실전편 7강 후기!,멋진 종영쌤! 제가 뽑은 단답형 어려운 문제는 22번 문제를 뽑았습니다! 사진으로 참고하시면 돼요! 제가 뽑은 깨달았던 단답형의 문제는 17번 문제를 뽑았습니다! 와! 이거는 제가 스스로 풀어보니까! 간단했습니다! 8강에 가서 더 집중해서! 잘 풀겠습니다!♡♡♡♡♡♡♡♡♡♡♡♡♡,5점
15,정종영,2565,김*정,23.11.07,224,[2024 수능완성] 정종영의 수학+확률과 통계(실전편),선생님 안녕하세요 !,"선생님 안녕하세요 전 대략 한 달 전쯤부터..? ㅎㅎ 선생님과 수특 수완 강의를 함께 하고 있는 학생입니다
사실 제가 작년까지 미술을 하다가 인문계로도 비슷한 과를 갈 수 있다는 정보를 얻고 한 번 더 도전하고 있어요

이번 한 해는 사설 인강에만 집중했었는데, 똑같이 반영되는 국어랑 영어, 탐구는 이번에 철저히 공부해서 1등급이 나오는데 수학만 암담하네요..
수학을 정말 열심히 했는데 아무래도 공부 방법이 잘못되었다는 생각이 막 들어요 (수능전에 이러면 안 되지만 ㅎㅎ..) 

수학 한 문제 두 문제 틀리는 걸로 제가 가고싶은 대학에서 아예 하위권 대학으로 떨어지기도 해서 너무 불안한 맘에 수강 하게 되었습니다
비록 시간은 얼마 안 남았지만 수특 수1수2는 몇 문제 제외하면 거의 다 마무리했고 수능 완성 실전모고도 4회차까지 풀고 있어요!

수학을 어떻게 공부해야 할지 몰라 여름에 엄청 방황 했었는데 그때 ebs 한번이라도 들었으면 어땠을까 싶어요. 지금 들으니까 저에게 너무 잘 맞고 제가 부족했던 개념을 채워주시는 것 같아서요!
이미 지나간 시간 가지고 미련 두고 싶지는 않지만 그래도 제 수학 성적이 너무 아쉬워서.. 슬픈건 어쩔수가 없네요 ㅠ

수능 때 턱걸이 3등급이 목표인데, 비록 엄청 짧은 시간이 남았지만 포기하지 않고 선생님과 함께 달려보겠습니당!!!
그리고 선생님 덕분에 ebs 강의도 생각보다 매우매우 괜찮고 좋다는 걸 알게 되었어요

수완 강의가 끝나면 모의고사 강의 찍으신 거 들으면서 지금보다 더 열심히 공부하겠습니다!
의상학과에 들어가는 것이 목표인데 대학 합격하고 수강평 다시 남길 수 있다면 꼭 연락 드리고 싶어요

그리고 이건 너무 별얘길 다하나..? 싶지만 ㅎㅎ.. 제가 초,중,고 다니면서 가장 좋아했던 초5 선생님께서도 수학 선생님이셨고 ebs에서 강의 하셨었는데
열심히 가르쳐주시는 선생님의 모습과 겹쳐보이고, 다시 한번만 더 뵐 수 있었으면 하는 생각이 드네요..! 공교육에 힘쓰시는 ebs 강사님들, 한 학급의 담임 선생님으로서 학생들을 이끄는 모습들
다 너무너무 멋있으시다는 생각이 들었습니다.

선생님 좋은 강의 찍어주셔서 감사드리고 전 비록 선생님과 이번 일 년 동안 처음부터 끝까지 함께한 애제자도 아니지만 이런 학생도 있었구나~ 하면서 기억해주시면 감사하겠습니다!
좋은 하루 되세요 ㅎㅎ",베스트
16,정종영,2565,홍*림,23.10.20,42,[2024 수능완성] 정종영의 수학+확률과 통계(실전편),강의 정말 좋네요,"실전 풀다가 모르는 문제 생겨서 해설 강의를 찾던 중에 선생님 강의를 듣게 됐는데 정말 너무 좋아요ㅜㅜ 
특히 단계별로 분류돼 있는 체계적인 풀이랑 깔끔한 글씨체가 마음에 쏙 들어요🥹 웬만하면 후기 잘 안 쓰는데 꼭 써야할 것 같았어요. 
지금 유형편 한 번 더 돌리려고 하는데 너무 좋아서 유형편까지 해주셨으면..ㅜㅇㅜ 좋았을 것 같다는 생각이 드네요
이제서야 선생님 강의를 알게 돼서 아쉽지만 남은 기간 동안 열심히 수학 해보겠습니다!!",베스트
