,index,teacher,heart,reviewer,date,kinds,content_title,review_title,content,rated
0,0,정종영,2565,송*영,23.09.09,260,[2024학년도 고3 9월 모의평가 해설] 수학,공부 방법 질문,"안녕하세요. 앞으로의 공부 방향에 대해 질문드리고 싶습니다.
미적분을 선택했고 61점(틀린문항-9,11,13,14,19,20,21,22,28,30)을 받았습니다.
지금까지는 평가원 기출문제를 풀었고 사설 실전개념강의를 듣는 중이었습니다. 
수능특강, 수능완성을 가볍게 훑기만 했는데 연계교재를 다시 한번 보고 무엇을 해야 할까요? 지금 듣고 있는 실전 개념 강의를 계속 듣는게 맞는지 어떤 문제들을 중심적으로 풀어야 할지 고민입니다.
감사합니다.",5점
1,1,정종영,2565,이*영,23.09.08,302,[2024학년도 고3 9월 모의평가 해설] 수학,"선생님, 수학 시험과 관련해서 질문 있습니다!","안녕하세요 선생님! 
다름이 아니라 수학 모고 시간 분배에 대해서 여쭤보고 싶은 게 있어서요ㅠ

제가 어제 9모에서
1번~12번(약 35분)
13번(10분 정도 풀다가 답이 안 나와서 패스ㅠ)
단답형 16번~20번(15분) 
확률과 통계 23~29번 (30분)
30번(5분 고민하다가 마킹ㅠ)

해서 14,15,21,22번은 손도 못 대고 시험이 끝났습니다ㅠ

결과는 확률과 통계 29번 틀리고, 1문제를 찍어서 맞추면서 총 76점이 나왔습니다ㅠ

4점짜리 문제를 2문제 정도는 더 풀고 싶은데, 보통 시간 분배가 어느 정도가 되면 적당한지, 저의 과정 중에 시간이 너무 많이 걸리는 부분이 어딘지 조언해주시면 감사하겠습니다!",5점
2,2,정종영,2565,강*지,23.09.08,280,[2024학년도 고3 9월 모의평가 해설] 수학,안녕하세요 ebs로 많은 도움을 받고 있습니다! (공부방향에 대해서 여쭤볼게 있습니다ㅜㅜ)!,"안녕하세요! 답답했던 것들이 강의로 정말 도움 됐어요 감사합니다! 
+ 제가 9평때 확통 69점을 받았는데 (11,13,14,15,21,22,29,30 못풀었습니다..) 앞으로 무엇을 공부해야될지 감이 안잡히네요ㅜ 혹시 공부 방향을 여쭤봐도 된다면 남은기간 무엇을 하면 좋을까요? 현장에서 11번 빼고는 어떻게 풀어야되는지 전혀 생각이 안나고 턱 막혀버렸어요ㅜ",5점
3,3,정종영,2565,박*민,23.09.07,400,[2024학년도 고3 9월 모의평가 해설] 수학,9모 후기,"안녕하세요

9모 끝나자마자 해설 강의 찍어 올리시느라고 고생하셨어요

저는

원점수 97점 받았어요.........ㅋㅋㅋ

해설강의 듣고 다시 수강후기 쓰겠습니다",5점
4,4,정종영,2565,안*이,23.09.07,299,[2024학년도 고3 9월 모의평가 해설] 수학,종영샘 민재샘 감사합니다^^,"일케 빨리 해설강의 올려주시다니 감동입니다!
샘들께서 해주시는 강의내용들 잘 기억하면서
끝까지 가겠습니다.
수험생보다  더 치열하신 샘들 모습이 큰 힘이되고 자극도 됩니다.
선생님! 감사합니다. ",스페셜
5,5,정종영,2565,s********e,23.08.04,144,[2024 만점마무리] 수학Ⅰ·수학Ⅱ,8월부터 시작,"정말 오랜만에 수능을 준비합니다.


선생님과 저 둘다 파이팅입니다.",5점
6,6,정종영,2565,오*비,23.07.28,111,[2024 만점마무리] 수학Ⅰ·수학Ⅱ,해설 감사합니다,문제풀이 깔끔하고 꼼꼼히 해주셔서 좋았어요 ㅎ ㅎ 특히 스텝을 나눠서 설명해주신게 이해도 잘되고 어느 부분부터 막힌건지 알 수 있었어요 감사합니다!,5점
7,7,정종영,2565,변*윤,23.07.20,161,[2024 만점마무리] 수학Ⅰ·수학Ⅱ,선생님께 ),선생님 즐거운저녁보내세요.ㅎ ),5점
8,8,정종영,2565,박*수,23.11.12,3,[2024 수능완성] 정종영의 수학+확률과 통계(실전편),수완수학 실전편 13강 후기!,멋진 종영쌤! 제가 뽑은 오답의 문제는 4회의 1번 문제를 뽑았습니다! 계산만 더 집중해서 잘 풀면 풀수 있는 문제이고요! 제가 뽑은 깨달았던 문제는 4회의 2번 문제를 뽑았습니다! 스스로 계산해서 풀고 채점해보니까! 맞혔더라고요! 멋진 종영쌤! 완강이 7강 코앞이니까! 포기하지 말고! 끝까지 파이팅!,5점
9,9,정종영,2565,박*수,23.11.11,3,[2024 수능완성] 정종영의 수학+확률과 통계(실전편),수완수학 실전편 12강 후기!,멋진 종영쌤! 제가 뽑은 오답의 문제는 25번 문제를 뽑았습니다! 계산과정만 잘 하면 문제데요! 아쉬웠습니다! 제가 뽑은 깨달았던 문제는 24번 문제를 뽑았습니다! 저한테 너무나 간단한 확통문제여서 기분이 제일 좋았던 거 같습니다! 완강이 8강 코앞이니까! 끝까지 파이팅!♡♡♡♡♡,5점
